ItemID,ItemName,Unit,PrCd
31799,peanut 500 gm,gm,P05
31831,peanut 80 gm,gm,P05
31835,chicki peanut 600 gm,gm,P05
31864,peanut 600 gm,gm,P05
31929,chicki peanut 100 gm,gm,P05
31944,chicki peanut 1 kg,kg,P05
31967,peanut sada 1 kg,kg,P05
32089,chicki peanut 250 gm,gm,P05
32331,chicki peanut small g.b 1 pc,,P05
32334,chicki peanut large box 1 pc,,P05
32369,chicki peanut bag,,P05
32384,chicki peanut bottel,,P05
32425,chicki peanut box,,P05
31728,pista 12 gm,gm,P09
31729,pista 24 gm,gm,P09
31730,pista 50 gm,gm,P09
31731,pista 100 gm,gm,P09
31732,pista 200 gm,gm,P09
31733,salted pista 50 gm,gm,P09
31734,salted pista 100 gm,gm,P09
31735,salted pista 200 gm,gm,P09
31779,pista 600 gm,gm,P09
31780,pista sada-small 1 kg,kg,P09
31794,salted pista 500 gm,gm,P09
31839,salted pista 400 gm,gm,P09
31959,salted pista 1kg,kg,P09
32284,pista sada- jambo 1 kg,kg,P09
32428,chicki pista squar ,,P09
32449,chicki pista box,,P09
32452,chicki pista 1 pc,,P09
31723,raiwari 70 gm,gm,R02
31724,raiwari 200 gm,gm,R02
31926,raiwari 100 gm,gm,R02
32293,raiwari 400 gm,gm,R02
32299,raiwri 1 kg,kg,R02
32364,raiwari small box,,R02
31726,till lado large,,T04
31727,till lado 6 pcs small,pcs,T04
31859,till lado 12 pc,pc,T04
31911,till lado 6 pc,pc,T04
31980,till ladu 1 pc,pc,T04
31981,till ladu 15 pc,pc,T04
31982,till ladu 6 pc,pc,T04
32131,till lado large 1 pc,pc,T04
32132,till lado small 1 pc,pc,T04
32297,till lado glass box 16 pc,pc,T04
32353,till lado large bag,,T04
32368,till lado small bag,,T04
32378,till lado jar,,T04
32402,till lado large jar,,T04
32418,till lado family jar,,T04
31674,ajwaine 40 gm,gm,A01
31882,ajwain 100 gm,gm,A01
32004,ajwain 1 kg,kg,A01
31677,alo bukhara 30 gm,gm,A03
31815,alo bukhara 100 gm,gm,A03
31950,alo bukhara chatni 200 gm,gm,A03
32000,alo bukhara 1 kg,kg,A03
32329,alo bukhara 500 gm,gm,A03
31691,anar dana 30gm,gm,A05
31894,anar dana 100 gm,gm,A05
32005,anar dana 1 kg,kg,A05
31801,badian phool 24 gm,gm,B03
32010,badian phool 1 kg,kg,B03
32093,badian phool 50 gm,gm,B03
32224,badiian phool 500 gm,gm,B03
31645,bari ilachi 16 gm,gm,B04
31891,bari ilachi 50 gm,gm,B04
31927,bari ilachi 10 gm,gm,B04
31997,bari illachi 1 kg,kg,B04
32102,bari illaichi 25 gm,gm,B04
31700,bread crums 200 gm,gm,B08
32104,bread crums 1 kg,kg,B08
32242,bread crumps 400gm,gm,B08
32457,bread crums 500 gm,gm,B08
31679,calongy 40 gm,gm,C01
31939,calongy 100 gm,gm,C01
32006,calongy 1 kg,kg,C01
31886,chaar magaz 100gm,gm,C02
31903,chaar mugaz 200 gm,gm,C02
31978,charmagaz 1 kg,kg,C02
32239,chaar maghaz 50gm,gm,C02
32287,chaar magaz 1 kg,kg,C02
32434,magaz 1 kg,kg,C02
32435,magaz 50 gm,gm,C02
32443,magaz 100 gm,gm,C02
32444,magaz 200 gm,gm,C02
31669,chana 35 gm,gm,C04
31670,chana 70gm,gm,C04
31671,chana 20 gm,gm,C04
31672,chana 170 gm,gm,C04
31673,chana 200 gm,gm,C04
31785,chana 1 kg,kg,C04
31920,chana 1 kg,kg,C04
32105,chana bhuna 200 gm,gm,C04
32133,chana bhuna 100 gm,gm,C04
32136,chana 1 kg,kg,C04
32437,chana fry 50 gm,gm,C04
32438,chana fry 100gm,gm,C04
32454,chana fry   1 kg,kg,C04
31931,chicken powder ,,C09
32043,chat masala 1 kg,kg,C09
32051,chat masala 26 gm,gm,C09
32291,khatai powder 50gm,gm,C09
